,pgid,year,quarter,lat,lon,iso3,wp_land_area,wp_pop_count,wp_pop_density,latbin,lonbin,count_cyclones,count_cyclones_multiply_pop_density,count_cyclones_multiply_pop_density_log,boxcoxb,boxcoxb_log,count_cyclones_multiply_pop_density_log_minmax,boxcoxb_log_minmax
4651,152877,2023,4,16.25,-61.75,GLP,898.610048,231470.3962141192,257.5871444229824,16.5,-61.5,5.0,1287.935722114912,7.161572135221735,6.525118129028032,0.5995447766766488,0.6104868959760067,0.5995447766766488
4653,155740,2023,4,18.25,-70.25,DOM,1464.422912,953019.162168774,650.7813790397552,18.5,-70.5,2.0,1301.5627580795103,7.172088955253341,6.536593648013104,0.6005289194440102,0.6114547961371379,0.6005289194440102
4654,155743,2023,4,18.25,-68.75,DOM,1197.380096,194882.53430400975,162.7574526710771,18.5,-68.5,11.0,1790.331979381848,7.490714744672569,6.884613589774863,0.6303751781646754,0.6407790549903467,0.6303751781646754
4657,155746,2023,4,18.25,-67.25,PRI,1115.228032,380252.4526798872,340.9638583043501,18.5,-67.5,7.0,2386.7470081304505,7.778105525906189,7.199080899409564,0.6573439565485701,0.6672286455155889,0.6573439565485701
4659,155018,2023,4,17.75,-71.25,DOM,919.402176,27238.21887237915,29.626010883379887,17.5,-71.5,7.0,207.38207618365922,5.339373299384154,4.549121011047215,0.430082874821275,0.4427834892884484,0.430082874821275
4661,155738,2023,4,18.25,-71.25,DOM,2598.356992,306459.3196112127,117.9435006639814,18.5,-71.5,3.0,353.8305019919442,5.871640216277866,5.123612356449913,0.4793513657039316,0.49176989706931434,0.4793513657039316
4662,155737,2023,4,18.25,-71.75,DOM,2551.311104,223799.8007565888,87.7195260137859,18.5,-71.5,3.0,263.1585780413577,5.576549597212742,4.804813293512602,0.4520110953040068,0.46461166322266906,0.4520110953040068
4663,155739,2023,4,18.25,-70.75,DOM,1060.076992,151759.00287025457,143.15847246522878,18.5,-70.5,2.0,286.31694493045757,5.660585944164053,4.8955269546393945,0.4597907167411669,0.47234582559405186,0.4597907167411669
4666,156457,2023,4,18.75,-71.75,DOM,2890.10048,368578.4465699669,127.53136062936017,18.5,-71.5,3.0,382.5940818880805,5.9495849150698366,5.207939419611285,0.4865832712422387,0.49894342350538007,0.4865832712422387
4667,156458,2023,4,18.75,-71.25,DOM,2925.91488,208767.1985459196,71.35108405679922,18.5,-71.5,3.0,214.05325217039768,5.370885681972395,4.5830650162553965,0.4329939193905328,0.445683685364175,0.4329939193905328
4668,156459,2023,4,18.75,-70.75,DOM,2926.727936,189148.4507392116,64.6279582097827,18.5,-70.5,2.0,129.2559164195654,4.869501103168578,4.044072867376516,0.38676984659053565,0.39953948843444914,0.38676984659053565
4671,157179,2023,4,19.25,-70.75,DOM,2917.932032,1242443.0527487043,425.7957481953796,19.5,-70.5,5.0,2128.978740976898,7.663867277891643,7.074016973703065,0.6466184496584693,0.6567148953203467,0.6466184496584693
4676,157899,2023,4,19.75,-70.75,DOM,1920.155136,494128.5015980936,257.33780168796403,19.5,-70.5,5.0,1286.68900843982,7.160604424435139,6.524062240534305,0.5994542234715525,0.610397834128085,0.5994542234715525
4679,156460,2023,4,18.75,-70.25,DOM,2921.856512,839098.5907033673,287.1799444145214,18.5,-70.5,2.0,574.3598888290428,6.3549957386233595,5.647322658665033,0.524264864325486,0.5362548161376134,0.524264864325486
4680,156463,2023,4,18.75,-68.75,DOM,2449.889024,405358.3469068045,165.4598812173806,18.5,-68.5,11.0,1820.0586933911866,7.50717331061466,6.902608567983024,0.631918431038504,0.6422937950524058,0.631918431038504
4681,157180,2023,4,19.25,-70.25,DOM,2915.496704,661286.3230249529,226.81772272892024,19.5,-70.5,5.0,1134.0886136446013,7.034466000563595,6.386484509938921,0.5876555302105706,0.5987888686401153,0.5876555302105706
4682,157181,2023,4,19.25,-69.75,DOM,1883.595136,251637.5865438163,133.59430683081584,19.5,-69.5,9.0,1202.3487614773426,7.092863583748933,6.450164616314931,0.5931167486701696,0.6041634048597039,0.5931167486701696
4683,157900,2023,4,19.75,-70.25,DOM,1007.943936,115206.51348601589,114.2985332529605,19.5,-70.5,5.0,571.4926662648024,6.349999925328533,5.641900481118305,0.5237998573116069,0.5357950337624742,0.5237998573116069
