latbin,lonbin,count_cyclones
-32.5,-164.5,1
-32.5,-163.5,3
-31.5,-166.5,1
-31.5,-165.5,3
-31.5,-164.5,2
-30.5,-178.5,2
-30.5,-177.5,3
-30.5,-168.5,1
-30.5,-167.5,2
-30.5,-166.5,3
-30.5,67.5,7
-30.5,68.5,3
-30.5,170.5,1
-30.5,171.5,3
-29.5,-179.5,4
-29.5,-178.5,5
-29.5,-171.5,1
-29.5,-170.5,4
-29.5,-169.5,2
-29.5,-168.5,1
-29.5,66.5,11
-29.5,67.5,8
-29.5,68.5,8
-29.5,168.5,5
-29.5,169.5,3
-29.5,170.5,2
-28.5,-179.5,4
-28.5,-172.5,2
-28.5,-171.5,2
-28.5,-170.5,2
-28.5,42.5,2
-28.5,44.5,4
-28.5,45.5,1
-28.5,66.5,8
-28.5,67.5,19
-28.5,68.5,10
-28.5,69.5,3
-28.5,166.5,1
-28.5,167.5,6
-28.5,178.5,4
-28.5,179.5,8
-27.5,-175.5,3
-27.5,-174.5,5
-27.5,-173.5,4
-27.5,-172.5,3
-27.5,-171.5,3
-27.5,42.5,4
-27.5,43.5,4
-27.5,44.5,1
-27.5,67.5,13
-27.5,68.5,8
-27.5,69.5,10
-27.5,165.5,3
-27.5,166.5,4
-27.5,177.5,10
-27.5,178.5,8
-26.5,-179.5,3
-26.5,-178.5,3
-26.5,-177.5,4
-26.5,-176.5,5
-26.5,-175.5,2
-26.5,41.5,9
-26.5,42.5,8
-26.5,43.5,3
-26.5,67.5,10
-26.5,68.5,7
-26.5,69.5,5
-26.5,70.5,4
-26.5,163.5,1
-26.5,164.5,4
-26.5,166.5,1
-26.5,167.5,3
-26.5,174.5,15
-26.5,175.5,1
-26.5,176.5,11
-26.5,177.5,3
-26.5,179.5,1
-25.5,-179.5,1
-25.5,41.5,13
-25.5,43.5,3
-25.5,67.5,1
-25.5,68.5,8
-25.5,70.5,11
-25.5,71.5,2
-25.5,162.5,1
-25.5,163.5,2
-25.5,165.5,5
-25.5,166.5,8
-25.5,167.5,2
-25.5,168.5,1
-25.5,174.5,14
-25.5,175.5,20
-25.5,176.5,8
-25.5,177.5,3
-25.5,178.5,4
-25.5,179.5,3
-24.5,41.5,13
-24.5,42.5,16
-24.5,43.5,8
-24.5,44.5,4
-24.5,45.5,2
-24.5,68.5,4
-24.5,69.5,4
-24.5,71.5,12
-24.5,75.5,2
-24.5,161.5,2
-24.5,162.5,1
-24.5,164.5,6
-24.5,165.5,5
-24.5,166.5,3
-24.5,174.5,9
-24.5,175.5,5
-24.5,176.5,5
-24.5,177.5,3
-23.5,41.5,13
-23.5,42.5,26
-23.5,43.5,27
-23.5,44.5,4
-23.5,45.5,6
-23.5,46.5,8
-23.5,47.5,4
-23.5,48.5,3
-23.5,49.5,4
-23.5,69.5,10
-23.5,71.5,7
-23.5,72.5,5
-23.5,76.5,4
-23.5,77.5,4
-23.5,78.5,4
-23.5,79.5,4
-23.5,159.5,2
-23.5,160.5,3
-23.5,161.5,1
-23.5,162.5,1
-23.5,163.5,2
-23.5,164.5,9
-23.5,173.5,9
-23.5,174.5,8
-23.5,175.5,3
-23.5,176.5,1
-22.5,36.5,73
-22.5,37.5,6
-22.5,38.5,21
-22.5,39.5,25
-22.5,40.5,17
-22.5,41.5,47
-22.5,42.5,13
-22.5,43.5,4
-22.5,44.5,8
-22.5,45.5,1
-22.5,47.5,3
-22.5,48.5,2
-22.5,52.5,1
-22.5,53.5,1
-22.5,70.5,7
-22.5,71.5,6
-22.5,73.5,5
-22.5,74.5,1
-22.5,79.5,6
-22.5,80.5,5
-22.5,81.5,9
-22.5,82.5,4
-22.5,157.5,2
-22.5,158.5,3
-22.5,159.5,1
-22.5,160.5,1
-22.5,161.5,1
-22.5,163.5,3
-22.5,164.5,9
-22.5,171.5,1
-22.5,172.5,8
-22.5,173.5,10
-22.5,174.5,4
-21.5,35.5,23
-21.5,36.5,56
-21.5,37.5,5
-21.5,38.5,13
-21.5,40.5,11
-21.5,41.5,7
-21.5,42.5,6
-21.5,44.5,2
-21.5,45.5,7
-21.5,46.5,7
-21.5,47.5,8
-21.5,48.5,8
-21.5,49.5,2
-21.5,53.5,6
-21.5,70.5,5
-21.5,72.5,7
-21.5,73.5,1
-21.5,74.5,3
-21.5,75.5,5
-21.5,76.5,1
-21.5,78.5,4
-21.5,79.5,9
-21.5,80.5,6
-21.5,81.5,5
-21.5,82.5,24
-21.5,156.5,3
-21.5,157.5,5
-21.5,158.5,2
-21.5,159.5,1
-21.5,161.5,2
-21.5,162.5,12
-21.5,163.5,5
-21.5,164.5,3
-21.5,170.5,1
-21.5,171.5,2
-21.5,172.5,3
-21.5,173.5,11
-20.5,39.5,9
-20.5,40.5,9
-20.5,42.5,34
-20.5,43.5,16
-20.5,44.5,14
-20.5,48.5,6
-20.5,49.5,16
-20.5,50.5,11
-20.5,51.5,2
-20.5,70.5,3
-20.5,71.5,3
-20.5,73.5,7
-20.5,76.5,8
-20.5,77.5,9
-20.5,78.5,2
