,pgid,lat,lon,count_fire,wp_pop_density,count_fire_multiply_pop_density,count_fire_multiply_pop_density_log,boxcoxb,boxcoxb_log,count_fire_multiply_pop_density_log_minmax,boxcoxb_log_minmax
1,51345.0,-54.25,-67.75,50,0.52780459361366,26.390229680682996,3.310186368806933,1.9081954451708438,0.27978702035979097,0.20105914017873536,0.279787020359791
8,53500.0,-52.75,-70.25,16,0.1223621320595656,1.9577941129530496,1.0844437584020263,0.08350304201884817,0.071639892376216,0.041814882687191586,0.07163989237621601
9,53503.0,-52.75,-68.75,2,3.960840395441867,7.921680790883734,2.1884843583125857,1.055200452705406,0.18248379404101378,0.12080520472685091,0.1824837940410138
11,54936.0,-51.75,-72.25,3,17.2855495340846,51.8566486022538,3.9675835057710667,2.370343474883709,0.33250537712054296,0.2480936528234277,0.332505377120543
26,57098.0,-50.25,-71.25,1,0.74186309831188,0.74186309831188,0.5549552865428992,-0.47906000017885236,0.007466949396412272,0.003931796764601564,0.007466949396412273
30,57818.0,-49.75,-71.25,1,1.6244406135307203,1.6244406135307203,0.9648677737272948,-0.03530338895300588,0.05808735204116955,0.03325963069878501,0.05808735204116956
46,59260.0,-48.75,-70.25,5,2.4511514768308302,12.255757384154151,2.5844319776147495,1.3675289772104882,0.218111873190563,0.14913390021327425,0.21811187319056305
56,59982.0,-48.25,-69.25,4,0.18013528678011997,0.7205411471204799,0.5426388617616199,-0.49357037881956617,0.005811714993725278,0.0030505987724903094,0.005811714993725279
63,61415.0,-47.25,-72.75,58,0.6617457930523111,38.38125599703404,3.673289966989672,2.166268945310356,0.30922609610204554,0.2270379584907949,0.3092260961020456
64,61416.0,-47.25,-72.25,7,0.30989031231905523,2.1692321862333865,1.1534893460063202,0.1504642691179676,0.0792783234251212,0.04675485790252563,0.07927832342512121
65,61417.0,-47.25,-71.75,3,0.2534969305947582,0.7604907917842746,0.5655926291444628,-0.4665984894837998,0.008888464418358541,0.004692862179960178,0.008888464418358543
72,62139.0,-46.75,-70.75,3,2.6425018505664117,7.927505551699236,2.189137022351211,1.0557273756772616,0.182543901433948,0.12085190060252696,0.18254390143394802
73,62145.0,-46.75,-67.75,28,23.224758368937742,650.2932343302568,6.478959977551613,3.9745475089249513,0.515500857240123,0.4277740344007352,0.5155008572401231
74,62146.0,-46.75,-67.25,4,0.7107567782642455,2.843027113056982,1.3462603667378823,0.33190237468302275,0.09997541215904138,0.06054696392537796,0.0999754121590414
76,62619.0,-46.75,169.25,1,0.7216498173712197,0.7216498173712197,0.5432830272367567,-0.49280925229185785,0.005898538559440204,0.003096686605068219,0.005898538559440206
83,62865.0,-46.25,-67.75,18,26.639714049753955,479.5148528955712,6.174858139265736,3.7908287385074546,0.4945436074850308,0.40601658984570727,0.4945436074850309
87,63339.0,-46.25,169.25,3,1.2415697887456578,3.7247093662369735,1.5528060492627846,0.5185823379823202,0.1212704524330657,0.07532459980205222,0.12127045243306572
88,63340.0,-46.25,169.75,1,7.108779358328026,7.108779358328026,2.0929473461124015,0.9775975921511156,0.17363144582068754,0.11396985885187969,0.17363144582068757
93,63583.0,-45.75,-68.75,1,1.6643971739141432,1.6643971739141432,0.9799778308725473,-0.02007739963388011,0.059824217905251637,0.034340703514438554,0.05982421790525165
96,64056.0,-45.75,167.75,1,0.6963007190721751,0.6963007190721751,0.5284498324257021,-0.510398992266032,0.0038920338733475016,0.00203542234078561,0.0038920338733475024
97,64057.0,-45.75,168.25,2,1.557912537800975,3.11582507560195,1.4148393184297285,0.39470027229175764,0.10713892202409339,0.06545355294005734,0.10713892202409342
98,64058.0,-45.75,168.75,4,1.3963559720816079,5.5854238883264316,1.8848587049270271,0.8051178305892657,0.153956257310901,0.0990818295698411,0.15395625731090104
102,64062.0,-45.75,170.75,2,83.76838018351859,167.53676036703718,5.127153888414108,3.1377281313834553,0.42004282290218087,0.33105694055038737,0.420042822902181
103,64295.0,-45.25,-72.75,1,6.641617266896156,6.641617266896156,2.0336092649252127,0.9289116404992472,0.16807772016699474,0.1097244224588963,0.16807772016699477
104,64297.0,-45.25,-71.75,1,2.775296793083197,2.775296793083197,1.3284790002948346,0.31547851574800373,0.09810190237633704,0.05927476808243947,0.09810190237633706
106,64776.0,-45.25,167.75,6,1.64042833302526,9.84256999815156,2.3834800526116924,1.2107879174765657,0.20023203691549504,0.1347564785208411,0.2002320369154951
111,64781.0,-45.25,170.25,1,0.9382858238225386,0.9382858238225386,0.6618039865064501,-0.3566192712801609,0.021434062990163115,0.011576455140682639,0.02143406299016312
112,64782.0,-45.25,170.75,1,11.989386446513487,11.989386446513487,2.5641325968120787,1.3518508303723245,0.21632342861172255,0.14768154907062736,0.2163234286117226
119,65499.0,-44.75,169.25,4,6.571671342944854,26.286685371779416,3.306398867899678,1.9054639494754577,0.27947543196104935,0.20078815746631173,0.2794754319610494
122,65502.0,-44.75,170.75,5,1.1969486904439632,5.984743452219816,1.9437282636478526,0.8544186270796547,0.159580119820029,0.10329374478570125,0.15958011982002904
123,65503.0,-44.75,171.25,7,10.515625401975829,73.6093778138308,4.31226620726933,2.6041760584619524,0.3591792321860404,0.27275451909506054,0.3591792321860405
124,65737.0,-44.25,-71.75,5,0.41896254261043564,2.0948127130521783,1.1297273915599282,0.12754653925659673,0.07666404189344629,0.04505477147983041,0.0766640418934463
128,66220.0,-44.25,169.75,4,0.18914172649713867,0.7565669059885547,0.5633612825127258,-0.4692071387597645,0.008590889411321447,0.004533216973943932,0.008590889411321448
129,66221.0,-44.25,170.25,13,1.1046772878908935,14.360804742581616,2.7318191184422655,1.4803754093360724,0.23098454187135498,0.1596789451322865,0.23098454187135503
130,66222.0,-44.25,170.75,3,1.4444888481276454,4.3334665443829365,1.6740014103315504,0.6249396980103822,0.13340289677903588,0.08399571262282182,0.1334028967790359
131,66223.0,-44.25,171.25,10,30.177659338657584,301.7765933865758,5.712995218002716,3.5069848458536073,0.46216484000097774,0.37297188035612927,0.46216484000097785
132,66456.0,-43.75,-72.25,1,0.7455870568992002,0.7455870568992002,0.5570909213689055,-0.476552932955124,0.007752936690149773,0.004084594118864644,0.007752936690149774
133,66457.0,-43.75,-71.75,2,0.6741997874481239,1.3483995748962478,0.853734064189417,-0.14938633900731038,0.04507363073412737,0.02530839456981466,0.04507363073412738
134,66458.0,-43.75,-71.25,60,1.3002091766355144,78.01255059813086,4.369606708179555,2.6425714545387486,0.3635590889812853,0.27685703546373486,0.36355908898128536
142,66943.0,-43.75,171.25,1,1.2514861257694532,1.2514861257694532,0.8115904985239597,-0.19369358525468822,0.040019394721897694,0.022293166847135185,0.0400193947218977
143,66944.0,-43.75,171.75,13,16.142363401533657,209.85072421993755,5.351150414950424,3.2802086888894335,0.4362959287884871,0.3470831245225185,0.4362959287884872
144,66945.0,-43.75,172.25,13,32.37506482382241,420.87584270969137,6.044711059158883,3.7114506951669526,0.48548875981988987,0.3967050121999263,0.48548875981989
148,67177.0,-43.25,-71.75,3,1.9033336034949202,5.710000810484761,1.903599071771178,0.8208571538827181,0.15575168043771292,0.10042263860556022,0.15575168043771295
149,67178.0,-43.25,-71.25,25,6.325525258139933,158.13813145349832,5.069772576354117,3.10095727883132,0.41584828176252725,0.32695150428378256,0.41584828176252736
150,67179.0,-43.25,-70.75,18,1.0265446546691654,18.47780378404498,2.9692755497663748,1.6587546673845301,0.25133270038316236,0.1766681391729759,0.2513327003831624
156,67190.0,-43.25,-65.25,2,72.56222521140194,145.12445042280387,4.98445865877783,3.0460757524248536,0.40958781173419384,0.3208475858007469,0.40958781173419395
159,67614.0,-43.25,146.75,184,2.1378494276627413,393.3642946899444,5.97727508792532,3.6701374194776193,0.480776053356338,0.3918801995207297,0.4807760533563381
160,67615.0,-43.25,147.25,1,26.01447125268703,26.01447125268703,3.296372694744208,1.898229075236748,0.2786501321507863,0.20007081913071056,0.2786501321507864
164,67665.0,-43.25,172.25,1,8.607316913502594,8.607316913502594,2.262524986653122,1.114706619044019,0.18927180806425373,0.126102557991859,0.18927180806425378
165,67666.0,-43.25,172.75,1,101.93266235675297,101.93266235675297,4.634075010906405,2.8179165581597037,0.38356113407208403,0.29577883634983304,0.38356113407208414
170,67897.0,-42.75,-71.75,16,0.6613028083584541,10.580844933735266,2.449352434399729,1.2625519553098177,0.2061368873928755,0.1394694217326921,0.20613688739287556
172,67899.0,-42.75,-70.75,5,0.6134538091512611,3.067269045756306,1.4029717781071767,0.3838937077361921,0.10590619075841567,0.06460447109291062,0.1059061907584157
178,67910.0,-42.75,-65.25,12,49.86046592049228,598.3255910459073,6.395805008114121,3.9245491892369366,0.5097974265527985,0.4218245812596119,0.5097974265527986
179,67911.0,-42.75,-64.75,50,3.6270579059907564,181.3528952995378,5.20594379483381,3.1880353773329895,0.42578149356418976,0.33669408838903664,0.4257814935641899
183,68334.0,-42.75,146.75,65,1.3685589731692522,88.9563332560014,4.499324366545002,2.72892732676225,0.3734099146638982,0.28613788945528845,0.3734099146638983
184,68335.0,-42.75,147.25,3,109.8826496618369,329.64794898551065,5.801054211123996,3.5615724799776998,0.46839178501742035,0.3792721995886843,0.46839178501742046
185,68336.0,-42.75,147.75,21,13.48468737054572,283.1784347814601,5.64960233235276,3.4675453480196787,0.4576658799630744,0.36843633659721414,0.4576658799630745
188,68386.0,-42.75,172.75,9,2.361707289198198,21.25536560278378,3.1025831302270075,1.7571802974231157,0.26256035287796964,0.18620583978993352,0.2625603528779697
189,68387.0,-42.75,173.25,4,1.5186821190087245,6.074728476034898,1.9565290648472518,0.865084444012476,0.1607967956599297,0.10420959825086196,0.16079679565992971
190,68613.0,-42.25,-73.75,8,44.820690069191556,358.56552055353245,5.884896415223812,3.6133361198696696,0.4742965901006649,0.3852708220151565,0.474296590100665
191,68617.0,-42.25,-71.75,11,5.638835350537935,62.02718885591729,4.1435662024339,2.4903945522784663,0.3461998973190638,0.2606846117826644,0.34619989731906387
