,index,pgid,year,quarter,lat,lon,iso3,wp_land_area,wp_pop_count,wp_pop_density,latbin,lonbin,ID,Severity,num_days,YEAR,num_days_multiply_pop_density,num_days_multiply_pop_density_log,boxcoxb,boxcoxb_log,num_days_multiply_pop_density_log_minmax,boxcoxb_log_minmax
502,502,98194,2023,4,-21.75,-43.25,BRA,2870.981888,665360.6323999551,231.75368510020886,-21.5,-43.5,5152.0,2.0,2.0,2022.0,463.5073702004177,6.140977425082627,5.8464398961748785,0.4774018761754988,0.4999051431728916,0.4774018761754988
503,503,98914,2023,4,-21.25,-43.25,BRA,2880.888064,96584.21833641968,33.52584904056157,-21.5,-43.5,5152.0,2.0,2.0,2022.0,67.05169808112313,4.220267682219253,3.5501660266056136,0.2686425239396908,0.2894131545121836,0.2686425239396908
506,506,98913,2023,4,-21.25,-43.75,BRA,2880.888064,247261.6903293068,85.82828795714944,-21.5,-43.5,5152.0,2.0,2.0,2022.0,171.65657591429888,5.1513045112328735,4.651589892162705,0.36877541129162017,0.3914461630828996,0.36877541129162017
613,613,98193,2023,4,-21.75,-43.75,BRA,2870.981888,40539.18313972215,14.12032005815362,-21.5,-43.5,5152.0,2.0,2.0,2022.0,28.24064011630724,3.375559526444529,2.5735143719891855,0.17985295511704844,0.1968409685233355,0.17985295511704844
619,619,99633,2023,4,-20.75,-43.75,BRA,2890.54208,280482.7040332398,97.03463788814304,-20.5,-43.5,5151.0,1.5,8.0,2022.0,776.2771031051443,6.655796918842505,6.476577546823284,0.5346890880852135,0.5563245888728262,0.5346890880852135
627,627,100353,2023,4,-20.25,-43.75,BRA,2899.997952,171802.46467390368,59.24227103519819,-20.5,-43.5,5151.0,1.5,8.0,2022.0,473.93816828158555,6.163184623522759,5.873506188368649,0.4798625328509398,0.5023388463285166,0.4798625328509398
638,638,99634,2023,4,-20.75,-43.25,BRA,2890.54208,83907.0142212479,29.028124102330278,-20.5,-43.5,5151.0,1.5,8.0,2022.0,232.22499281864222,5.45200362205548,5.012188915879267,0.4015582686003849,0.42439999905980164,0.4015582686003849
640,640,100354,2023,4,-20.25,-43.25,BRA,2899.997952,122414.30832294858,42.211860266496,-20.5,-43.5,5151.0,1.5,8.0,2022.0,337.694882131968,5.8250996493817455,5.462616616179813,0.4425076502006924,0.4652878661855434,0.4425076502006924
1293,1293,79447,2023,4,-34.75,-56.75,URY,998.271616,24149.242815076104,24.191054246178332,-34.5,-56.5,5150.0,1.5,2.0,2022.0,48.382108492356664,3.8995881823241283,3.1766269930483455,0.2346832616262489,0.2542696530505743,0.2346832616262489
1297,1297,79448,2023,4,-34.75,-56.25,URY,1896.439552,1651071.7758834555,870.6166110816569,-34.5,-56.5,5150.0,1.5,2.0,2022.0,1741.2332221633137,7.462923030289946,7.475105606891384,0.6254674894647475,0.6447781310750335,0.6254674894647475
