,latbin,lonbin,ID,Severity,num_days,YEAR
0,-34.5,-56.5,5150,1.5,2,2022
1,-32.5,27.5,5148,1.5,3,2022
2,-28.5,31.5,5146,1.5,4,2022
3,-26.5,28.5,5156,1.5,6,2022
4,-21.5,-43.5,5152,2.0,2,2022
5,-20.5,-43.5,5151,1.5,8,2022
6,-19.5,46.5,5155,2.0,12,2022
7,-18.5,47.5,5147,1.5,2,2022
8,-14.5,35.5,5149,1.0,4,2022
9,-12.5,-39.5,5145,1.5,10,2021
10,-11.5,-67.5,5140,1.0,3,2021
11,-0.5,110.5,5154,1.0,6,2022
12,0.5,15.5,5144,1.5,18,2021
13,2.5,98.5,5138,1.0,8,2021
14,3.5,-72.5,10218,2.0,8,4042
15,4.5,45.5,10220,3.0,12,4042
16,4.5,97.5,10186,2.0,4,4042
17,6.5,-76.5,5139,1.5,4,2021
18,7.5,2.5,10230,2.0,10,4042
19,8.5,-82.5,10208,3.0,12,4042
20,9.5,-84.5,10206,3.0,12,4042
21,9.5,-75.5,10240,2.0,42,4042
22,9.5,31.5,5136,2.0,157,2021
23,11.5,18.5,10248,3.0,166,4042
24,11.5,125.5,5142,2.0,3,2021
25,12.5,9.5,10214,2.0,14,4042
26,12.5,30.5,10232,3.0,104,4042
27,13.5,3.5,10224,3.0,36,4042
28,14.5,76.5,10210,3.0,16,4042
29,14.5,108.5,5133,1.5,7,2021
30,15.5,-86.5,5153,1.0,3,2022
31,15.5,80.5,5137,1.5,8,2021
32,17.5,101.5,10254,3.0,10,4042
33,18.5,-73.5,10228,3.0,2,4042
34,19.5,-100.5,10258,3.0,16,4042
35,19.5,84.5,10242,3.0,14,4042
36,21.5,92.5,10212,3.0,6,4042
37,22.5,87.5,10244,3.0,12,4042
38,23.5,87.5,10260,3.0,16,4042
39,23.5,97.5,10200,3.0,8,4042
40,25.5,66.5,10246,3.0,2,4042
41,25.5,86.5,10216,3.0,20,4042
42,27.5,82.5,10252,3.0,22,4042
43,28.5,84.5,10180,3.0,6,4042
44,29.5,78.5,5135,1.5,8,2021
45,30.5,-91.5,10236,3.0,0,4042
46,31.5,-111.5,10196,3.0,12,4042
47,32.5,-86.5,10256,3.0,6,4042
48,32.5,130.5,10222,3.0,10,4042
49,33.5,-87.5,10250,2.0,4,4042
50,33.5,74.5,10202,3.0,4,4042
51,34.5,73.5,10198,3.0,2,4042
52,34.5,113.5,10192,4.0,18,4042
53,34.5,127.5,10184,3.0,4,4042
54,35.5,-86.5,10234,4.0,4,4042
55,35.5,70.5,10194,4.0,2,4042
56,35.5,109.5,5132,2.0,9,2021
57,36.5,-110.5,10204,4.0,12,4042
58,36.5,-5.5,10238,2.0,2,4042
59,36.5,44.5,5143,1.5,3,2021
60,38.5,-121.5,5134,2.0,2,2021
61,41.5,30.5,10226,4.0,12,4042
62,44.5,9.5,10262,3.0,4,4042
63,44.5,37.5,10188,3.0,4,4042
64,47.5,-122.5,5141,2.0,5,2021
65,51.5,6.5,10190,4.0,10,4042
